代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
512410,银行ETF广发,1.085,1.0836,-0.13,0.018,1.69,240997.0,26086307.0,1.074,1.088,1.072,1.067,1.5,50.24,2.42,50.74,170190.0,70807.0,-3508371.0,-13.45,-610223.0,-2.34,-2898148.0,-11.11,2096115.0,8.04,1412256.0,5.41,31.0,1.084,1.085,47971700.0,52049295,52049295,2026-08-19,2026-08-19 14:00:09+08:00
513350,标普油气ETF富国,1.328,1.3146,-1.02,0.022,1.68,9729536.0,1294675483.0,1.319,1.343,1.319,1.306,1.84,116.56,1.77,8.22,4941286.0,4788250.0,-8121360.0,-0.63,-15502464.0,-1.2,7381104.0,0.57,12292032.0,0.95,-4266882.0,-0.33,-1018.0,1.328,1.329,834746000.0,1108542688,1108542688,2026-08-19,2026-08-19 14:00:09+08:00
560670,银行ETF华泰柏瑞,1.053,1.0515,-0.14,0.017,1.64,181788.0,19065975.0,1.039,1.055,1.039,1.036,1.54,37.89,2.0,27.95,101901.0,79887.0,-730987.0,-3.83,1476906.0,7.75,-2207893.0,-11.58,264554.0,1.39,466433.0,2.45,118.0,1.051,1.053,47974000.0,50516622,50516622,2026-08-19,2026-08-19 14:00:02+08:00
517900,银行AH优选ETF招商,1.525,1.5244,-0.04,0.024,1.6,256087.0,38838598.0,1.504,1.528,1.504,1.501,1.6,6.47,1.67,12.24,182753.0,73334.0,-1842003.0,-4.74,3730707.0,9.61,-5572710.0,-14.35,-420227.0,-1.08,2262231.0,5.82,-69.0,1.524,1.526,395993504.0,603890094,603890094,2026-08-19,2026-08-19 14:00:02+08:00
516210,银行ETF华安,1.386,1.3853,-0.05,0.021,1.54,66702.0,9214824.0,1.379,1.39,1.366,1.365,1.76,8.28,0.89,6.1,34090.0,32612.0,830959.0,9.28,515157.0,5.75,315802.0,3.53,-1191035.0,-13.3,360077.0,4.02,1880.0,1.385,1.386,80531000.0,111615966,111615966,2026-08-19,2026-08-19 14:00:05+08:00
512700,银行ETF南方,1.499,1.4988,-0.01,0.022,1.49,698873.0,104428552.0,1.479,1.504,1.479,1.477,1.69,10.54,1.46,28.29,334752.0,364121.0,-7513738.0,-7.2,-11311889.0,-10.83,3798151.0,3.64,4964527.0,4.75,2549212.0,2.44,2.0,1.498,1.499,663081008.0,993958431,993958431,2026-08-19,2026-08-19 14:00:10+08:00
515290,银行ETF天弘,1.461,1.4598,-0.08,0.021,1.46,510928.0,74371124.0,1.444,1.465,1.444,1.44,1.46,1.93,1.22,24.42,370449.0,140479.0,-3647813.0,-4.9,-22495932.0,-30.25,18848119.0,25.34,4618102.0,6.21,-970290.0,-1.3,2.0,1.46,1.461,2644072896.0,3862990501,3862990501,2026-08-19,2026-08-19 14:00:07+08:00
159887,银行ETF富国,1.33,1.3293,-0.05,0.019,1.45,985771.0,130729160.531,1.314,1.335,1.314,1.311,1.6,17.1,1.93,-8.48,625088.0,360683.0,-4634957.0,-3.55,-9546565.0,-7.3,4911608.0,3.76,2921280.0,2.23,1713677.0,1.31,16.0,1.329,1.33,576315952.0,766500216,766500216,2026-08-19,2026-08-19 14:00:12+08:00
516310,银行ETF易方达,1.347,1.3456,-0.1,0.019,1.43,1653540.0,221779756.0,1.33,1.35,1.329,1.328,1.58,9.96,1.77,9.17,1042813.0,610727.0,-8033776.0,-3.62,-5822857.0,-2.63,-2210919.0,-1.0,9354686.0,4.22,-1320910.0,-0.6,53.0,1.346,1.347,1659858496.0,2235829394,2235829394,2026-08-19,2026-08-19 14:00:04+08:00
512730,银行ETF鹏华,1.665,1.6668,0.11,0.023,1.4,50295.0,8347738.0,1.645,1.671,1.645,1.642,1.58,9.13,2.51,3.96,32756.0,17539.0,1359584.0,16.29,1144765.0,13.71,214819.0,2.57,-1257023.0,-15.06,-102561.0,-1.23,-29.0,1.665,1.667,55083900.0,91714694,91714694,2026-08-19,2026-08-19 14:00:08+08:00
512820,银行ETF汇添富,1.427,1.4268,-0.01,0.019,1.35,772782.0,109924571.0,1.411,1.432,1.41,1.408,1.56,19.22,1.32,0.4,472530.0,300252.0,-2643472.0,-2.4,-5599120.0,-5.09,2955648.0,2.69,2771311.0,2.52,-127839.0,-0.12,-1000.0,1.427,1.428,402101904.0,573799417,573799417,2026-08-19,2026-08-19 14:00:10+08:00
