代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
515220,煤炭ETF国泰,1.308,1.3069,-0.08,0.031,2.43,6165311,802168848.0,1.28,1.314,1.279,1.277,2.74,5.59,1.09,100.0,3242828.0,2922483.0,48073846.0,5.99,82081654.0,10.23,-34007808.0,-4.24,-35846990.0,-4.47,-12226838.0,-1.52,-35387,1.308,,11036676864.0,14435973338,14435973338,2026-08-24,2026-08-24 15:13:28+08:00
159049,有色ETF工银,1.069,1.0509,-1.72,0.023,2.2,114323,12071924.133,1.049,1.07,1.037,1.046,3.15,27.17,1.62,100.0,63737.0,50586.0,487645.0,4.04,1621449.0,13.43,-1133804.0,-9.39,-643046.0,-5.33,155402.0,1.29,585,1.069,1.069,42073319.0,44976378,44976378,2026-08-24,2026-08-24 15:13:15+08:00
563700,红利价值ETF易方达,1.082,1.0826,0.06,0.023,2.17,248355,26793474.0,1.06,1.086,1.06,1.059,2.46,6.5,3.57,100.0,97457.0,150898.0,374833.0,1.4,3955856.0,14.76,-3581023.0,-13.37,-444103.0,-1.66,69271.0,0.26,-3872,1.082,,382150000.0,413486300,413486300,2026-08-24,2026-08-24 15:13:04+08:00
520870,巴西ETF易方达,1.07,1.059,-1.04,0.022,2.1,995633,106246180.0,1.06,1.071,1.06,1.048,1.05,19.58,2.49,-100.0,525538.0,470095.0,4597783.0,4.33,-2084182.0,-1.96,6681965.0,6.29,-1478738.0,-1.39,-3119045.0,-2.94,-21380,,1.07,508477200.0,544070604,544070604,2026-08-24,2026-08-24 15:13:06+08:00
159937,黄金ETF博时,9.542,9.5405,-0.02,0.184,1.97,1254312,1193956318.3,9.49,9.559,9.452,9.358,1.14,2.65,1.47,100.0,639673.0,614639.0,-28040815.0,-2.35,-18095119.0,-1.52,-9945696.0,-0.83,23385168.0,1.96,4655656.0,0.39,3991,9.542,9.542,4732721920.0,45159632561,45159632561,2026-08-24,2026-08-24 15:13:30+08:00
159830,金ETF天弘,9.985,9.9774,-0.08,0.192,1.96,174098,173578184.0,9.951,10.008,9.896,9.793,1.14,4.94,2.36,100.0,81932.0,92166.0,-9327790.0,-5.37,-529289.0,-0.3,-8798501.0,-5.07,9853028.0,5.68,-525239.0,-0.3,-341,9.985,9.985,352414064.0,3518854429,3518854429,2026-08-24,2026-08-24 15:13:15+08:00
159831,金ETF嘉实,9.656,9.6514,-0.05,0.186,1.96,258078,248644353.8,9.601,9.673,9.553,9.47,1.27,11.3,1.68,100.0,127053.0,131025.0,-4759873.0,-1.91,-3411535.0,-1.37,-1348338.0,-0.54,-3883057.0,-1.56,8642929.0,3.48,-343,9.656,9.656,228356243.0,2205007882,2205007882,2026-08-24,2026-08-24 15:13:30+08:00
518600,金ETF广发,9.966,9.9602,-0.06,0.19,1.94,625541,622204386.0,9.895,9.984,9.877,9.776,1.09,7.92,1.87,100.0,307882.0,317659.0,-26269724.0,-4.22,-3881276.0,-0.62,-22388448.0,-3.6,14853068.0,2.39,11416660.0,1.83,-2324,9.966,,789616304.0,7869316086,7869316086,2026-08-24,2026-08-24 15:13:21+08:00
518800,黄金ETF国泰,10.027,10.0199,-0.07,0.189,1.92,996742,997385272.0,9.989,10.047,9.939,9.838,1.1,2.7,1.28,-100.0,490817.0,505926.0,-15037016.0,-1.51,4856488.0,0.49,-19893504.0,-1.99,5319136.0,0.53,9717873.0,0.97,-1696,,10.027,3697279200.0,37072618538,37072618538,2026-08-24,2026-08-24 15:13:01+08:00
518660,黄金ETF工银,9.594,9.5972,0.03,0.179,1.9,409709,392205946.0,9.53,9.614,9.51,9.415,1.1,4.29,1.35,100.0,195051.0,214658.0,-17585568.0,-4.48,-13054381.0,-3.33,-4531187.0,-1.16,16253663.0,4.14,1331905.0,0.34,-1352,9.594,,954152704.0,9154141042,9154141042,2026-08-24,2026-08-24 15:13:22+08:00
